idnum,state,county,fips,floor,activity,county_id
5192,MN,CASS,27021,0,4,11
5193,MN,CHIPPEWA,27023,0,7.7,12
5194,MN,CHIPPEWA,27023,0,1.4,12
5195,MN,CHIPPEWA,27023,0,10,12
5196,MN,CHIPPEWA,27023,0,9.4,12
5197,MN,CHISAGO,27025,0,0.8,13
5198,MN,CHISAGO,27025,0,4.4,13
5199,MN,CHISAGO,27025,0,5,13
5200,MN,CHISAGO,27025,0,2.1,13
5201,MN,CHISAGO,27025,0,1.7,13
5202,MN,CHISAGO,27025,0,8.1,13
5203,MN,CLAY,27027,1,0.9,14
5204,MN,CLAY,27027,0,12.9,14
5205,MN,CLAY,27027,0,2.6,14
5206,MN,CLAY,27027,1,3.5,14
5207,MN,CLAY,27027,0,26.6,14
5208,MN,CLAY,27027,0,1.5,14
5209,MN,CLAY,27027,0,13,14
5210,MN,CLAY,27027,0,8.8,14
5211,MN,CLAY,27027,0,19.5,14
5212,MN,CLAY,27027,1,2.5,14
5213,MN,CLAY,27027,0,9,14
5214,MN,CLAY,27027,0,13.1,14
5215,MN,CLAY,27027,0,3.6,14
5216,MN,CLAY,27027,1,6.9,14
5217,MN,CLEARWATER,27029,1,4.8,15
5218,MN,CLEARWATER,27029,0,3.4,15
5219,MN,CLEARWATER,27029,1,0.9,15
5220,MN,CLEARWATER,27029,0,3.4,15
5221,MN,COOK,27031,0,2.7,16
5222,MN,COOK,27031,0,1.4,16
5223,MN,COTTONWOOD,27033,0,6.8,17
5224,MN,COTTONWOOD,27033,1,11.1,17
5225,MN,COTTONWOOD,27033,1,0,17
5226,MN,COTTONWOOD,27033,1,2.5,17
5227,MN,CROW WING,27035,0,1.8,18
5228,MN,CROW WING,27035,0,1.6,18
5229,MN,CROW WING,27035,1,1,18
5230,MN,CROW WING,27035,0,0.9,18
5231,MN,CROW WING,27035,0,2.9,18
5232,MN,CROW WING,27035,0,4.4,18
5233,MN,CROW WING,27035,0,1.5,18
5234,MN,CROW WING,27035,0,4.1,18
5235,MN,CROW WING,27035,1,2.5,18
5236,MN,CROW WING,27035,1,6.7,18
5237,MN,CROW WING,27035,0,4.3,18
5238,MN,CROW WING,27035,0,5.5,18
5239,MN,DAKOTA,27037,0,3.6,19
5240,MN,DAKOTA,27037,0,2.8,19
5241,MN,DAKOTA,27037,0,14.6,19
5242,MN,DAKOTA,27037,0,6.7,19
5243,MN,DAKOTA,27037,0,8,19
5244,MN,DAKOTA,27037,0,2.6,19
5245,MN,DAKOTA,27037,1,2.8,19
5246,MN,DAKOTA,27037,0,4.4,19
5247,MN,DAKOTA,27037,1,1.7,19
5248,MN,DAKOTA,27037,0,2,19
5249,MN,DAKOTA,27037,0,2,19
5250,MN,DAKOTA,27037,0,1.5,19
5251,MN,DAKOTA,27037,0,9.6,19
5252,MN,DAKOTA,27037,0,8.1,19
5253,MN,DAKOTA,27037,0,3.5,19
5254,MN,DAKOTA,27037,1,0.8,19
5255,MN,DAKOTA,27037,0,5.1,19
5256,MN,DAKOTA,27037,0,3.2,19
5257,MN,DAKOTA,27037,0,10.8,19
5258,MN,DAKOTA,27037,0,8.2,19
5259,MN,DAKOTA,27037,0,6.3,19
5260,MN,DAKOTA,27037,0,4.8,19
5261,MN,DAKOTA,27037,0,6,19
5262,MN,DAKOTA,27037,0,1.1,19
5263,MN,DAKOTA,27037,0,8.7,19
5264,MN,DAKOTA,27037,0,8.8,19
5265,MN,DAKOTA,27037,0,6.8,19
5266,MN,DAKOTA,27037,0,2.3,19
5267,MN,DAKOTA,27037,0,1.6,19
5268,MN,DAKOTA,27037,0,2.8,19
5269,MN,DAKOTA,27037,0,6.5,19
5270,MN,DAKOTA,27037,0,1.7,19
5271,MN,DAKOTA,27037,0,4.6,19
5272,MN,DAKOTA,27037,0,3.3,19
5273,MN,DAKOTA,27037,0,4.4,19
5274,MN,DAKOTA,27037,0,21.2,19
5275,MN,DAKOTA,27037,0,9.1,19
5276,MN,DAKOTA,27037,0,0.9,19
5277,MN,DAKOTA,27037,0,4.9,19
5278,MN,DAKOTA,27037,0,5,19
5279,MN,DAKOTA,27037,0,1.1,19
5280,MN,DAKOTA,27037,0,7.6,19
5281,MN,DAKOTA,27037,0,5.4,19
5282,MN,DAKOTA,27037,0,3.6,19
5283,MN,DAKOTA,27037,0,4.9,19
5284,MN,DAKOTA,27037,0,4.7,19
5285,MN,DAKOTA,27037,0,1.4,19
5286,MN,DAKOTA,27037,0,3.4,19
5287,MN,DAKOTA,27037,0,4.2,19
5288,MN,DAKOTA,27037,0,2.5,19
5289,MN,DAKOTA,27037,0,1.4,19
5290,MN,DAKOTA,27037,0,1.4,19
5291,MN,DAKOTA,27037,0,1.9,19
5292,MN,DAKOTA,27037,0,4.8,19
5293,MN,DAKOTA,27037,1,1.4,19
5294,MN,DAKOTA,27037,0,3.8,19
5295,MN,DAKOTA,27037,0,8.8,19
5296,MN,DAKOTA,27037,0,4.3,19
5297,MN,DAKOTA,27037,0,4.4,19
5298,MN,DAKOTA,27037,0,4.5,19
5299,MN,DAKOTA,27037,0,2.2,19
5300,MN,DAKOTA,27037,0,0.5,19
5301,MN,DAKOTA,27037,0,5.8,19
5302,MN,DODGE,27039,0,5.4,20
5303,MN,DODGE,27039,0,7.2,20
5304,MN,DODGE,27039,0,5.7,20
5305,MN,DOUGLAS,27041,0,7.4,21
5306,MN,DOUGLAS,27041,0,4.8,21
5307,MN,DOUGLAS,27041,0,6.8,21
5308,MN,DOUGLAS,27041,0,6.4,21
5309,MN,DOUGLAS,27041,1,3.7,21
5310,MN,DOUGLAS,27041,0,5.5,21
5311,MN,DOUGLAS,27041,0,7.8,21
5312,MN,DOUGLAS,27041,0,4.4,21
5313,MN,DOUGLAS,27041,0,2.7,21
5314,MN,FARIBAULT,27043,0,3.4,22
5315,MN,FARIBAULT,27043,0,4.2,22
5316,MN,FARIBAULT,27043,0,2.3,22
5317,MN,FARIBAULT,27043,1,1.3,22
5318,MN,FARIBAULT,27043,0,5.2,22
5319,MN,FARIBAULT,27043,0,0.1,22
5320,MN,FILLMORE,27045,1,2.5,23
5321,MN,FILLMORE,27045,0,3.2,23
5322,MN,FREEBORN,27047,0,3.2,24
5323,MN,FREEBORN,27047,0,9.6,24
5324,MN,FREEBORN,27047,0,4.2,24
5325,MN,FREEBORN,27047,0,9,24
5326,MN,FREEBORN,27047,0,6.3,24
5327,MN,FREEBORN,27047,0,32.6,24
5328,MN,FREEBORN,27047,0,13.2,24
5329,MN,FREEBORN,27047,1,2.2,24
5330,MN,FREEBORN,27047,1,5.6,24
5331,MN,GOODHUE,27049,0,14.3,25
5332,MN,GOODHUE,27049,1,6.9,25
5333,MN,GOODHUE,27049,0,7.6,25
5334,MN,GOODHUE,27049,1,9.8,25
5335,MN,GOODHUE,27049,0,2.6,25
5336,MN,GOODHUE,27049,0,43.5,25
5337,MN,GOODHUE,27049,0,4.9,25
5338,MN,GOODHUE,27049,0,4.9,25
5339,MN,GOODHUE,27049,0,3.5,25
5340,MN,GOODHUE,27049,0,4.8,25
5341,MN,GOODHUE,27049,0,5.6,25
5342,MN,GOODHUE,27049,0,3.5,25
5343,MN,GOODHUE,27049,0,3.9,25
5344,MN,GOODHUE,27049,0,6.7,25
5345,MN,HENNEPIN,27053,0,7.9,26
5346,MN,HENNEPIN,27053,0,3.3,26
5347,MN,HENNEPIN,27053,1,2.1,26
5348,MN,HENNEPIN,27053,0,1.6,26
5349,MN,HENNEPIN,27053,0,4,26
5350,MN,HENNEPIN,27053,0,1.8,26
5351,MN,HENNEPIN,27053,0,2.5,26
5352,MN,HENNEPIN,27053,0,11.2,26
5353,MN,HENNEPIN,27053,0,2.6,26
5354,MN,HENNEPIN,27053,0,3.9,26
5355,MN,HENNEPIN,27053,0,7.4,26
5356,MN,HENNEPIN,27053,0,1.3,26
5357,MN,HENNEPIN,27053,0,0.9,26
5358,MN,HENNEPIN,27053,0,0.4,26
5359,MN,HENNEPIN,27053,1,2.5,26
5360,MN,HENNEPIN,27053,0,6,26
5361,MN,HENNEPIN,27053,0,2,26
5362,MN,HENNEPIN,27053,0,5.4,26
5363,MN,HENNEPIN,27053,0,3,26
5364,MN,HENNEPIN,27053,0,2.9,26
5365,MN,HENNEPIN,27053,0,5.5,26
5366,MN,HENNEPIN,27053,0,4.1,26
5367,MN,HENNEPIN,27053,0,3.9,26
5368,MN,HENNEPIN,27053,0,14.9,26
5369,MN,HENNEPIN,27053,0,7.2,26
5370,MN,HENNEPIN,27053,0,2.3,26
5371,MN,HENNEPIN,27053,1,2.8,26
5372,MN,HENNEPIN,27053,0,4.4,26
5373,MN,HENNEPIN,27053,0,1.5,26
5374,MN,HENNEPIN,27053,0,8.6,26
5375,MN,HENNEPIN,27053,0,5.6,26
5376,MN,HENNEPIN,27053,0,8.6,26
5377,MN,HENNEPIN,27053,0,3.8,26
5378,MN,HENNEPIN,27053,0,1.8,26
5379,MN,HENNEPIN,27053,0,1.9,26
5380,MN,HENNEPIN,27053,0,5.5,26
5381,MN,HENNEPIN,27053,0,2.5,26
5382,MN,HENNEPIN,27053,1,0.8,26
5383,MN,HENNEPIN,27053,0,2.1,26
5384,MN,HENNEPIN,27053,0,2.8,26
5385,MN,HENNEPIN,27053,0,3.9,26
5386,MN,HENNEPIN,27053,0,4.3,26
5387,MN,HENNEPIN,27053,0,4.7,26
5388,MN,HENNEPIN,27053,0,2.8,26
5389,MN,HENNEPIN,27053,0,4.1,26
5390,MN,HENNEPIN,27053,0,1.6,26
5391,MN,HENNEPIN,27053,0,4.3,26
5392,MN,HENNEPIN,27053,1,0.7,26
5393,MN,HENNEPIN,27053,0,5.5,26
5394,MN,HENNEPIN,27053,1,3.3,26
5395,MN,HENNEPIN,27053,0,5.5,26
5396,MN,HENNEPIN,27053,0,2.5,26
5397,MN,HENNEPIN,27053,0,2.7,26
5398,MN,HENNEPIN,27053,0,8.4,26
5399,MN,HENNEPIN,27053,0,3.3,26
5400,MN,HENNEPIN,27053,0,3.2,26
5401,MN,HENNEPIN,27053,0,8.6,26
5402,MN,HENNEPIN,27053,0,1.7,26
5403,MN,HENNEPIN,27053,0,5.7,26
5404,MN,HENNEPIN,27053,0,13,26
5405,MN,HENNEPIN,27053,0,2.7,26
5406,MN,HENNEPIN,27053,0,4.7,26
5407,MN,HENNEPIN,27053,0,5.6,26
5408,MN,HENNEPIN,27053,0,13.8,26
5409,MN,HENNEPIN,27053,1,7.6,26
5410,MN,HENNEPIN,27053,0,5.7,26
5411,MN,HENNEPIN,27053,0,4.6,26
5412,MN,HENNEPIN,27053,0,7.6,26
5413,MN,HENNEPIN,27053,0,2.6,26
5414,MN,HENNEPIN,27053,0,4.5,26
5415,MN,HENNEPIN,27053,0,5.9,26
5416,MN,HENNEPIN,27053,0,2.2,26
5417,MN,HENNEPIN,27053,0,2.4,26
5418,MN,HENNEPIN,27053,0,4,26
5419,MN,HENNEPIN,27053,0,4.6,26
5420,MN,HENNEPIN,27053,0,4.6,26
5421,MN,HENNEPIN,27053,0,10.9,26
5422,MN,HENNEPIN,27053,0,7.6,26
5423,MN,HENNEPIN,27053,0,3,26
5424,MN,HENNEPIN,27053,0,1.5,26
5425,MN,HENNEPIN,27053,1,1.6,26
5426,MN,HENNEPIN,27053,0,16.5,26
5427,MN,HENNEPIN,27053,0,3.1,26
5428,MN,HENNEPIN,27053,0,5.1,26
5429,MN,HENNEPIN,27053,0,4.9,26
5430,MN,HENNEPIN,27053,0,6,26
5431,MN,HENNEPIN,27053,1,0.9,26
5432,MN,HENNEPIN,27053,0,1.8,26
5433,MN,HENNEPIN,27053,0,3.9,26
5434,MN,HENNEPIN,27053,0,5.6,26
5435,MN,HENNEPIN,27053,1,0.4,26
5436,MN,HENNEPIN,27053,0,2.6,26
5437,MN,HENNEPIN,27053,0,3.6,26
5438,MN,HENNEPIN,27053,0,6.2,26
5439,MN,HENNEPIN,27053,0,23.6,26
5440,MN,HENNEPIN,27053,0,3.9,26
5441,MN,HENNEPIN,27053,0,2.9,26
5442,MN,HENNEPIN,27053,0,3,26
5443,MN,HENNEPIN,27053,0,4.7,26
5444,MN,HENNEPIN,27053,0,3,26
5445,MN,HENNEPIN,27053,0,4.2,26
5446,MN,HENNEPIN,27053,0,3.8,26
5447,MN,HENNEPIN,27053,0,3,26
5448,MN,HENNEPIN,27053,0,4.3,26
5449,MN,HENNEPIN,27053,1,2.9,26
5450,MN,HOUSTON,27055,0,3.4,27
5451,MN,HOUSTON,27055,0,8.5,27
5452,MN,HOUSTON,27055,0,9,27
5453,MN,HOUSTON,27055,1,4.8,27
5454,MN,HOUSTON,27055,0,3.6,27
5455,MN,HOUSTON,27055,1,2.2,27
5456,MN,HUBBARD,27057,1,2.8,28
5457,MN,HUBBARD,27057,1,0.8,28
5458,MN,HUBBARD,27057,0,1.5,28
5459,MN,HUBBARD,27057,0,4.6,28
5460,MN,HUBBARD,27057,1,3.7,28
5461,MN,ISANTI,27059,0,3.6,29
5462,MN,ISANTI,27059,0,3,29
5463,MN,ISANTI,27059,0,2.2,29
5464,MN,ITASCA,27061,0,1.9,30
5465,MN,ITASCA,27061,0,2.6,30
5466,MN,ITASCA,27061,0,1.8,30
5467,MN,ITASCA,27061,0,2.4,30
5468,MN,ITASCA,27061,0,4.3,30
5469,MN,ITASCA,27061,0,2.6,30
5470,MN,ITASCA,27061,0,1.1,30
5471,MN,ITASCA,27061,0,3.3,30
5472,MN,ITASCA,27061,0,2.5,30
5473,MN,ITASCA,27061,0,9.4,30
5474,MN,ITASCA,27061,0,1.3,30
5475,MN,JACKSON,27063,0,8.4,31
5476,MN,JACKSON,27063,0,5,31
5477,MN,JACKSON,27063,0,2.9,31
5478,MN,JACKSON,27063,0,13.1,31
5479,MN,JACKSON,27063,0,15.3,31
5480,MN,KANABEC,27065,0,1.8,32
5481,MN,KANABEC,27065,0,3.8,32
5482,MN,KANABEC,27065,0,7.9,32
5483,MN,KANABEC,27065,0,2.6,32
5484,MN,KANDIYOHI,27067,0,11.3,33
5485,MN,KANDIYOHI,27067,0,4.1,33
5486,MN,KANDIYOHI,27067,0,12.3,33
5487,MN,KANDIYOHI,27067,0,6.7,33
5488,MN,KITTSON,27069,0,6.9,34
5489,MN,KITTSON,27069,1,4.5,34
5490,MN,KITTSON,27069,1,0.9,34
5491,MN,KOOCHICHING,27071,0,1.7,35
5492,MN,KOOCHICHING,27071,0,1.4,35
5493,MN,KOOCHICHING,27071,1,2,35
5494,MN,KOOCHICHING,27071,1,1,35
5495,MN,KOOCHICHING,27071,0,1,35
5496,MN,KOOCHICHING,27071,1,2.8,35
5497,MN,KOOCHICHING,27071,1,1.3,35
5498,MN,LAC QUI PARLE,27073,1,11.3,36
5499,MN,LAC QUI PARLE,27073,0,16,36
5500,MN,LAKE,27075,1,1.3,37
5501,MN,LAKE,27075,0,1.3,37
5502,MN,LAKE,27075,0,1.6,37
5503,MN,LAKE,27075,0,0.9,37
5504,MN,LAKE,27075,0,2.8,37
5505,MN,LAKE,27075,0,0.5,37
5506,MN,LAKE,27075,0,1.5,37
5507,MN,LAKE,27075,0,7.1,37
5508,MN,LAKE,27075,0,0.5,37
5509,MN,LAKE OF THE WOODS,27077,0,10.1,38
5510,MN,LAKE OF THE WOODS,27077,1,4.3,38
5511,MN,LAKE OF THE WOODS,27077,0,3.3,38
5512,MN,LAKE OF THE WOODS,27077,1,2.9,38
5513,MN,LE SUEUR,27079,0,12.5,39
5514,MN,LE SUEUR,27079,1,4.2,39
5515,MN,LE SUEUR,27079,0,4.5,39
5516,MN,LE SUEUR,27079,0,3.9,39
5517,MN,LE SUEUR,27079,0,3.3,39
5518,MN,LINCOLN,27081,0,17.5,40
5519,MN,LINCOLN,27081,0,10.6,40
5520,MN,LINCOLN,27081,0,7.9,40
5521,MN,LINCOLN,27081,1,3.5,40
5522,MN,LYON,27083,0,6.5,41
5523,MN,LYON,27083,1,6.9,41
5524,MN,LYON,27083,0,5.1,41
5525,MN,LYON,27083,0,12,41
5526,MN,LYON,27083,0,5.1,41
5527,MN,LYON,27083,0,8.9,41
5528,MN,LYON,27083,0,5.8,41
5529,MN,LYON,27083,0,4.6,41
5530,MN,MAHNOMEN,27087,0,3.9,42
5531,MN,MARSHALL,27089,1,1.5,43
5532,MN,MARSHALL,27089,0,23.8,43
5533,MN,MARSHALL,27089,1,0.9,43
5534,MN,MARSHALL,27089,1,1.4,43
5535,MN,MARSHALL,27089,1,1.1,43
5536,MN,MARSHALL,27089,0,2.8,43
5537,MN,MARSHALL,27089,0,48.2,43
5538,MN,MARSHALL,27089,1,0.9,43
5539,MN,MARSHALL,27089,0,8.3,43
5540,MN,MARTIN,27091,0,4.1,44
5541,MN,MARTIN,27091,1,0.5,44
5542,MN,MARTIN,27091,0,6.7,44
5543,MN,MARTIN,27091,0,7.5,44
5544,MN,MARTIN,27091,0,9.2,44
5545,MN,MARTIN,27091,0,0.5,44
5546,MN,MARTIN,27091,0,1.5,44
5547,MN,MCLEOD,27085,0,10.3,45
5548,MN,MCLEOD,27085,0,3.9,45
5549,MN,MCLEOD,27085,0,1.8,45
5550,MN,MCLEOD,27085,0,9.9,45
5551,MN,MCLEOD,27085,0,2.3,45
5552,MN,MCLEOD,27085,0,4.4,45
5553,MN,MCLEOD,27085,0,2.8,45
5554,MN,MCLEOD,27085,1,1.1,45
5555,MN,MCLEOD,27085,0,1.2,45
5556,MN,MCLEOD,27085,1,1.6,45
5557,MN,MCLEOD,27085,1,25.4,45
5558,MN,MCLEOD,27085,1,0,45
5559,MN,MCLEOD,27085,0,10.6,45
5560,MN,MEEKER,27093,0,2.3,46
5561,MN,MEEKER,27093,0,3.9,46
5562,MN,MEEKER,27093,0,7.2,46
5563,MN,MEEKER,27093,0,2.1,46
5564,MN,MEEKER,27093,0,3.2,46
5565,MN,MILLE LACS,27095,1,0.5,47
5566,MN,MILLE LACS,27095,0,5.7,47
5567,MN,MORRISON,27097,0,1.4,48
5568,MN,MORRISON,27097,0,2.1,48
5569,MN,MORRISON,27097,0,4.4,48
5570,MN,MORRISON,27097,0,2.4,48
5571,MN,MORRISON,27097,0,4.9,48
5572,MN,MORRISON,27097,1,3,48
5573,MN,MORRISON,27097,0,3,48
5574,MN,MORRISON,27097,0,2.8,48
5575,MN,MORRISON,27097,0,3.9,48
5576,MN,MOWER,27099,0,10.9,49
5577,MN,MOWER,27099,0,6.4,49
5578,MN,MOWER,27099,0,2,49
5579,MN,MOWER,27099,0,3,49
5580,MN,MOWER,27099,0,4.5,49
5581,MN,MOWER,27099,0,2.1,49
5582,MN,MOWER,27099,0,8,49
5583,MN,MOWER,27099,1,1.3,49
5584,MN,MOWER,27099,0,9.2,49
5585,MN,MOWER,27099,1,1.1,49
5586,MN,MOWER,27099,0,10.6,49
5587,MN,MOWER,27099,0,24,49
5588,MN,MOWER,27099,0,9.1,49
5589,MN,MURRAY,27101,0,12.1,50
5590,MN,NICOLLET,27103,0,8.1,51
5591,MN,NICOLLET,27103,0,10.8,51
5592,MN,NICOLLET,27103,0,4.2,51
5593,MN,NICOLLET,27103,0,15.7,51
5594,MN,NOBLES,27105,0,5.4,52
5595,MN,NOBLES,27105,0,6.2,52
5596,MN,NOBLES,27105,0,9.7,52
5597,MN,NORMAN,27107,0,8.1,53
5598,MN,NORMAN,27107,0,1.6,53
5599,MN,NORMAN,27107,1,1.6,53
5600,MN,OLMSTED,27109,0,6.4,54
5601,MN,OLMSTED,27109,0,4.4,54
5602,MN,OLMSTED,27109,0,11.2,54
5603,MN,OLMSTED,27109,0,10,54
5604,MN,OLMSTED,27109,0,4.5,54
5605,MN,OLMSTED,27109,0,8,54
5606,MN,OLMSTED,27109,0,2.3,54
5607,MN,OLMSTED,27109,0,3.2,54
5608,MN,OLMSTED,27109,0,5,54
5609,MN,OLMSTED,27109,0,4.1,54
5610,MN,OLMSTED,27109,0,1.1,54
5611,MN,OLMSTED,27109,0,2,54
5612,MN,OLMSTED,27109,1,1.1,54
5613,MN,OLMSTED,27109,0,2.9,54
5614,MN,OLMSTED,27109,0,2.1,54
5615,MN,OLMSTED,27109,0,7.8,54
5616,MN,OLMSTED,27109,0,3.8,54
5617,MN,OLMSTED,27109,0,2.5,54
5618,MN,OLMSTED,27109,0,2.9,54
5619,MN,OLMSTED,27109,1,1.7,54
5620,MN,OLMSTED,27109,0,2.5,54
5621,MN,OLMSTED,27109,0,9.4,54
5622,MN,OLMSTED,27109,1,0.6,54
5623,MN,OTTER TAIL,27111,0,2.7,55
5624,MN,OTTER TAIL,27111,1,1.1,55
5625,MN,OTTER TAIL,27111,1,2.1,55
5626,MN,OTTER TAIL,27111,0,12,55
5627,MN,OTTER TAIL,27111,1,12.6,55
5628,MN,OTTER TAIL,27111,0,3.2,55
5629,MN,OTTER TAIL,27111,0,4.2,55
5630,MN,OTTER TAIL,27111,0,3.8,55
5631,MN,PENNINGTON,27113,1,3.7,56
5632,MN,PENNINGTON,27113,0,5.8,56
5633,MN,PENNINGTON,27113,1,0.3,56
5634,MN,PINE,27115,0,4.1,57
5635,MN,PINE,27115,0,2.8,57
5636,MN,PINE,27115,0,1.9,57
5637,MN,PINE,27115,1,1.2,57
5638,MN,PINE,27115,0,1.2,57
5639,MN,PINE,27115,0,1.5,57
5640,MN,PIPESTONE,27117,0,9.4,58
5641,MN,PIPESTONE,27117,0,1.7,58
5642,MN,PIPESTONE,27117,0,12.1,58
5643,MN,PIPESTONE,27117,1,4.3,58
5644,MN,POLK,27119,0,6.9,59
5645,MN,POLK,27119,1,1.4,59
5646,MN,POLK,27119,1,2.5,59
5647,MN,POLK,27119,0,9.6,59
5648,MN,POPE,27121,0,3.8,60
5649,MN,POPE,27121,0,3.4,60
5650,MN,RAMSEY,27123,0,6.8,61
5651,MN,RAMSEY,27123,0,3.6,61
5652,MN,RAMSEY,27123,0,2.2,61
5653,MN,RAMSEY,27123,0,2.6,61
5654,MN,RAMSEY,27123,0,2.1,61
5655,MN,RAMSEY,27123,0,7,61
5656,MN,RAMSEY,27123,0,1.2,61
5657,MN,RAMSEY,27123,0,3.8,61
5658,MN,RAMSEY,27123,0,3.5,61
5659,MN,RAMSEY,27123,0,4.2,61
5660,MN,RAMSEY,27123,1,1.6,61
5661,MN,RAMSEY,27123,1,2.8,61
5662,MN,RAMSEY,27123,0,8.6,61
5663,MN,RAMSEY,27123,0,6.2,61
5664,MN,RAMSEY,27123,0,5.2,61
5665,MN,RAMSEY,27123,0,2.7,61
5666,MN,RAMSEY,27123,0,1.2,61
5667,MN,RAMSEY,27123,0,3.5,61
5668,MN,RAMSEY,27123,0,5.5,61
